key,fr
initiativeText.noLinkedSource,Aucun paquet ni table disponible
initiativeText.linkedSourceHelp,Les boutons de tirage utiliseront directement cette source. Les libellés suivent les résultats de la source.
initiativeText.linkedSourceRequired,Créez ou importez d’abord un paquet ou une table dans les sources de hasard.
initiativeText.cardSourceRequired,Crée ou importe d’abord un paquet dans les sources de hasard.
initiativeText.custom,Personnalisé
initiativeText.addPart,+ partie
initiativeText.savePreset,Enregistrer comme préréglage
initiativeText.presetName,Nom du préréglage
initiativeText.savePresetAction,Enregistrer
initiativeText.presetSaved,Préréglage « {name} » enregistré. Il sera inclus dans les exports .cadlib de modèles et presets.
initiativeText.presetDuplicate,Un préréglage de libellés porte déjà ce nom.
initiativeText.presetInvalid,Ce préréglage de libellés est incomplet.
deleteCharacter.title,Supprimer la fiche ?
deleteCharacter.warningBefore,Tu es sur le point de supprimer
deleteCharacter.warningAfter,de la scène.
deleteCharacter.help,Cette action retire la fiche et ses indicateurs. Elle ne peut pas être annulée depuis cette fenêtre.
deleteCharacter.confirm,Supprimer définitivement
sheet.edit.defaultTitle,Modifier
sheet.edit.deleteCharacter,Supprimer la fiche
sheet.tiebreaker.default,Départage
participant.badge.inactive,Inactif
participant.badge.limited,Limité
scene.previousTurn,Retour précédent
scene.bottom.clock,Horloge
scene.returnPreparation,Retour en préparation
menu.open,Ouvrir le menu
quickStats.valueOf,Valeur de {label}
templates.actions.editAria,Modifier {name}
templates.actions.duplicateAria,Dupliquer {name}
templates.actions.deleteRevealAria,Afficher la suppression de {name}
templates.actions.deleteShort,Suppr.
templates.actions.ruleManaged,Automatisé par les règles
templates.edit.title,Modifier le template · {name}
templates.edit.delete,Supprimer le template
templates.fallback.unnamed,Modèle sans nom
templates.fallback.character,Nouveau personnage
templates.fallback.tracker,Indicateur
templates.fallback.status,État
templates.fallback.sceneStatus,État de scène
templates.fallback.sceneCounter,Indicateur de scène
templates.fallback.rules,Règles
templates.fallback.initiativeText,Libellés d’initiative
templates.fallback.newTemplate,Nouveau modèle
templates.fallback.chooseCategory,Choisis une catégorie.
templates.error.missingName,Donne un nom au modèle.
templates.error.missingCategory,Choisis ou crée une catégorie.
templates.error.duplicateNameInCategory,Un modèle porte déjà ce nom dans cette catégorie. Tu peux l’écraser ou modifier le nom.
templates.error.categoryName,Donne un nom à la catégorie.
templates.error.categoryExists,Cette catégorie existe déjà.
templates.error.categoryNotFound,Catégorie introuvable.
templates.error.categoryNotEmpty,Cette catégorie contient encore des modèles.
templates.fallback.newStatus,Nouvel état
templates.fallback.newSceneStatus,Nouvel état de scène
templates.fallback.newSceneCounter,Nouvel indicateur de scène
templates.rules.duplicateName,Un préréglage de règles porte déjà ce nom.
templates.warning.loadFailed,Impossible de charger les modèles Cadence.
restore.beginRound,Début R{round}
restore.beforeInitiative,Avant initiative
app.notice.importImpossible.title,Import impossible
app.notice.importImpossible.message,"Le fichier n’a pas pu être lu. Essaie avec un export .cad récent, et note le nom du fichier si le problème revient."
app.notice.campaignLoaded.title,Campagne chargée
app.notice.fileUnlinked.title,Fichier non lié
app.notice.copyImpossible.title,Copie impossible
app.notice.templatesImported.title,Modèles importés
app.notice.templatesImported.message,"{added} ajouté(s), {skipped} ignoré(s) car déjà présents."
app.notice.libraryExported.message,Bibliothèque Cadence exportée.
app.notice.libraryImported.title,Bibliothèque importée
app.notice.libraryImported.message,"{templates} élément(s) de modèle et {kits} ensemble(s) de tirages importé(s)."
app.notice.categoryImpossible.title,Catégorie impossible
app.notice.renameImpossible.title,Renommage impossible
app.notice.deleteImpossible.title,Suppression impossible
app.notice.exportDone.title,Export terminé
app.notice.exportDone.message,La campagne a bien été exportée.
app.notice.exportImpossible.title,Export impossible
app.notice.exportImpossible.message,Le navigateur a refusé l’enregistrement. Réessaie depuis Opera ou choisis un autre emplacement.
app.notice.exportInterrupted.message,Le navigateur a interrompu l’export : {message}.
app.notice.unknownError,erreur inconnue
app.notice.templateReplaced.title,Modèle remplacé
app.notice.templateSaved.title,Modèle enregistré
app.notice.templateSaved.message,{name} est disponible dans la catégorie {category}.
campaign.copyName,{name} 1
campaign.file.unnamed,sans nom
campaign.file.unknownType,type inconnu
campaign.file.prefix,Fichier : {fileName}.
campaign.status.localActive,Sauvegarde locale active.
campaign.status.saving,Enregistrement dans {fileName}...
campaign.status.saved,Enregistré dans {path}.
campaign.status.saveError,Enregistrement impossible : {message}.
campaign.status.choiceOriginal,Choisis si Cadence doit écrire dans ce fichier ou dans une copie.
campaign.status.choiceCopy,Ce navigateur ne donne pas accès au fichier original. Crée une copie pour l’enregistrement direct.
campaign.status.directActive,Enregistrement direct actif : {path}.
campaign.status.copyLinked,Copie liée : {path}.
campaign.status.loadedNoLinkedFile,Campagne chargée sans fichier lié.
campaign.status.testLoaded,Campagne de test chargée en sauvegarde locale.
campaign.status.reset,Cadence a été réinitialisé.
campaign.error.permissionDenied,permission refusée
campaign.error.readFile,Impossible de lire ce fichier Cadence. {message}
campaign.error.readNamedFile,Impossible de lire ce fichier Cadence. {filePrefix}{message}
campaign.error.originalUnavailable,Le fichier original n’est pas accessible en écriture. Crée une copie.
campaign.error.missing,Campagne introuvable.
campaign.error.writeFailed,Cadence n’a pas pu écrire dans le fichier choisi.
campaign.error.copyUnsupported,Utilise un navigateur compatible pour créer la copie.
campaign.error.copyFailed,Copie impossible : {message}.
campaign.error.presetMissing,Preset introuvable.
campaign.error.invalidCadenceFileDetailed,"Le fichier choisi n’est pas une campagne Cadence valide. Fichier : {fileName} ({fileType}, {fileSize} octets)."
campaign.error.invalidCadenceFile,Le fichier choisi n’est pas une campagne Cadence valide.
campaign.error.invalidCadenceV2File,Le fichier choisi n'est pas une campagne Cadence v2 valide. Fichier : {fileName}.
campaign.error.importTemplatesFailed,Impossible de lire les modèles de cette campagne.
hub.campaigns.styleReference,Référence CSS et symboles
hub.navigation,Navigation principale
styleReference.loading,Chargement de la référence visuelle...
styleReference.eyebrow,Outil interne
styleReference.title,Référence visuelle Cadence
styleReference.help,"Inventaire des styles, contrôles, couleurs et symboles actuellement utilisés dans Cadence."
styleReference.back,Retour aux options
styleReference.index,Sections de la référence visuelle
